briefing_date,ticker,source,verdict,conviction,score,horizon_days,entry_date,entry_price,exit_date,exit_price,fwd_return_pct,bench_return_pct,excess_pct,outcome,correct,sub_valuation,sub_quality,sub_momentum,sub_risk
2026-06-07,ASCM,v8b,HOLD,medium,61.6,5,2026-06-07,55.15,2026-06-14,60.8,10.24,0.12,10.12,graded,,50.0,75.0,67.0,50.0
2026-06-07,ASCM,v8b,HOLD,medium,61.6,21,2026-06-07,55.15,2026-07-07,57.61,4.46,3.56,0.9,graded,,50.0,75.0,67.0,50.0
2026-06-07,OFH,v8b,HOLD,medium,64.3,5,2026-06-07,0.63,2026-06-14,0.617,-2.06,0.12,-2.18,graded,,50.0,75.0,72.0,55.0
2026-06-07,OFH,v8b,HOLD,medium,64.3,21,2026-06-07,0.63,2026-07-07,0.631,0.16,3.56,-3.41,graded,,50.0,75.0,72.0,55.0
2026-06-07,EGCH,v8b,ACCUMULATE,medium,68.0,5,2026-06-07,14.66,2026-06-14,13.2,-9.96,0.12,-10.08,graded,False,50.0,75.0,85.0,50.0
2026-06-07,EGCH,v8b,ACCUMULATE,medium,68.0,21,2026-06-07,14.66,2026-07-07,13.03,-11.12,3.56,-14.68,graded,False,50.0,75.0,85.0,50.0
2026-06-07,JUFO,v8b,HOLD,medium,64.3,5,2026-06-07,30.1,2026-06-14,30.94,2.79,0.12,2.67,graded,,50.0,75.0,72.0,55.0
2026-06-07,JUFO,v8b,HOLD,medium,64.3,21,2026-06-07,30.1,2026-07-07,31.0,2.99,3.56,-0.57,graded,,50.0,75.0,72.0,55.0
2026-06-07,ARCC,v8b,HOLD,medium,64.3,5,2026-06-07,57.81,2026-06-14,56.65,-2.01,0.12,-2.13,graded,,50.0,75.0,72.0,55.0
2026-06-07,ARCC,v8b,HOLD,medium,64.3,21,2026-06-07,57.81,2026-07-07,55.3,-4.34,3.56,-7.91,graded,,50.0,75.0,72.0,55.0
2026-06-07,ASCM,w1,WEEKLY_BUY,weekly,26.77,5,2026-06-07,55.15,2026-06-14,60.8,10.24,0.12,10.12,graded,True,,,,
2026-06-07,ASCM,w1,WEEKLY_BUY,weekly,26.77,21,2026-06-07,55.15,2026-07-07,57.61,4.46,3.56,0.9,graded,True,,,,
2026-06-07,OFH,w1,WEEKLY_BUY,weekly,16.74,5,2026-06-07,0.63,2026-06-14,0.617,-2.06,0.12,-2.18,graded,False,,,,
2026-06-07,OFH,w1,WEEKLY_BUY,weekly,16.74,21,2026-06-07,0.63,2026-07-07,0.631,0.16,3.56,-3.41,graded,False,,,,
2026-06-07,EGCH,w1,WEEKLY_BUY,weekly,14.48,5,2026-06-07,14.66,2026-06-14,13.2,-9.96,0.12,-10.08,graded,False,,,,
2026-06-07,EGCH,w1,WEEKLY_BUY,weekly,14.48,21,2026-06-07,14.66,2026-07-07,13.03,-11.12,3.56,-14.68,graded,False,,,,
2026-06-07,JUFO,w1,WEEKLY_BUY,weekly,14.29,5,2026-06-07,30.1,2026-06-14,30.94,2.79,0.12,2.67,graded,True,,,,
2026-06-07,JUFO,w1,WEEKLY_BUY,weekly,14.29,21,2026-06-07,30.1,2026-07-07,31.0,2.99,3.56,-0.57,graded,False,,,,
2026-06-07,ARCC,w1,WEEKLY_BUY,weekly,11.53,5,2026-06-07,57.81,2026-06-14,56.65,-2.01,0.12,-2.13,graded,False,,,,
2026-06-07,ARCC,w1,WEEKLY_BUY,weekly,11.53,21,2026-06-07,57.81,2026-07-07,55.3,-4.34,3.56,-7.91,graded,False,,,,
2026-06-08,ASCM,v8b,HOLD,medium,58.1,5,2026-06-08,56.1,2026-06-15,58.73,4.69,-0.17,4.86,graded,,50.0,75.0,57.0,50.0
2026-06-08,ASCM,v8b,HOLD,medium,58.1,21,2026-06-08,56.1,2026-07-08,58.04,3.46,4.09,-0.63,graded,,50.0,75.0,57.0,50.0
2026-06-08,CCAP,v8b,HOLD,low,65.0,5,2026-06-08,5.52,2026-06-15,5.12,-7.25,-0.17,-7.08,graded,,50.0,62.0,85.0,50.0
2026-06-08,CCAP,v8b,HOLD,low,65.0,21,2026-06-08,5.52,2026-07-08,5.21,-5.62,4.09,-9.71,graded,,50.0,62.0,85.0,50.0
2026-06-08,OFH,v8b,HOLD,medium,62.5,5,2026-06-08,0.63,2026-06-15,0.617,-2.06,-0.17,-1.9,graded,,50.0,75.0,67.0,55.0
2026-06-08,OFH,v8b,HOLD,medium,62.5,21,2026-06-08,0.63,2026-07-08,0.64,1.59,4.09,-2.5,graded,,50.0,75.0,67.0,55.0
2026-06-08,ARCC,v8b,HOLD,medium,62.5,5,2026-06-08,58.0,2026-06-15,56.11,-3.26,-0.17,-3.09,graded,,50.0,75.0,67.0,55.0
2026-06-08,ARCC,v8b,HOLD,medium,62.5,21,2026-06-08,58.0,2026-07-08,55.99,-3.47,4.09,-7.56,graded,,50.0,75.0,67.0,55.0
2026-06-08,DSCW,v8b,HOLD,medium,58.3,5,2026-06-08,1.82,2026-06-15,1.86,2.2,-0.17,2.37,graded,,50.0,75.0,55.0,55.0
2026-06-08,DSCW,v8b,HOLD,medium,58.3,21,2026-06-08,1.82,2026-07-08,1.78,-2.2,4.09,-6.29,graded,,50.0,75.0,55.0,55.0
2026-06-08,ASCM,w1,WEEKLY_BUY,weekly,26.8,5,2026-06-08,56.1,2026-06-15,58.73,4.69,-0.17,4.86,graded,True,,,,
2026-06-08,ASCM,w1,WEEKLY_BUY,weekly,26.8,21,2026-06-08,56.1,2026-07-08,58.04,3.46,4.09,-0.63,graded,False,,,,
2026-06-08,CCAP,w1,WEEKLY_BUY,weekly,19.42,5,2026-06-08,5.52,2026-06-15,5.12,-7.25,-0.17,-7.08,graded,False,,,,
2026-06-08,CCAP,w1,WEEKLY_BUY,weekly,19.42,21,2026-06-08,5.52,2026-07-08,5.21,-5.62,4.09,-9.71,graded,False,,,,
2026-06-08,OFH,w1,WEEKLY_BUY,weekly,11.33,5,2026-06-08,0.63,2026-06-15,0.617,-2.06,-0.17,-1.9,graded,False,,,,
2026-06-08,OFH,w1,WEEKLY_BUY,weekly,11.33,21,2026-06-08,0.63,2026-07-08,0.64,1.59,4.09,-2.5,graded,False,,,,
2026-06-08,ARCC,w1,WEEKLY_BUY,weekly,10.81,5,2026-06-08,58.0,2026-06-15,56.11,-3.26,-0.17,-3.09,graded,False,,,,
2026-06-08,ARCC,w1,WEEKLY_BUY,weekly,10.81,21,2026-06-08,58.0,2026-07-08,55.99,-3.47,4.09,-7.56,graded,False,,,,
2026-06-08,DSCW,w1,WEEKLY_BUY,weekly,10.66,5,2026-06-08,1.82,2026-06-15,1.86,2.2,-0.17,2.37,graded,True,,,,
